filing_id,amendment_id,line_item,employer_last_name,employer_first_name,employer_full_name,fees_amount,reimbursement_amount,advance_amount,period_total,cumulative_total,form_type,payment_tier,is_alameda
2193090,0,6,CITY OF ALAMEDA,,CITY OF ALAMEDA,3750.0,0.0,0.0,3750.0,30000.0,F625P2,Medium (1K+),True
2276563,0,3,CITY OF ALAMEDA,,CITY OF ALAMEDA,7500.0,0.0,0.0,7500.0,67500.0,F625P2,Medium (1K+),True
2210483,0,6,CITY OF ALAMEDA,,CITY OF ALAMEDA,15000.0,0.0,0.0,15000.0,45000.0,F625P2,High (10K+),True
2320650,1,14,CITY OF ALAMEDA,,CITY OF ALAMEDA,11250.0,0.0,0.0,11250.0,78750.0,F625P2,High (10K+),True
2439485,0,4,CITY OF ALAMEDA,,CITY OF ALAMEDA,15000.0,0.0,0.0,15000.0,48750.0,F625P2,High (10K+),True
2346979,1,4,CITY OF ALAMEDA,,CITY OF ALAMEDA,11250.0,0.0,0.0,11250.0,90000.0,F625P2,High (10K+),True
2380782,0,3,CITY OF ALAMEDA,,CITY OF ALAMEDA,15000.0,0.0,0.0,15000.0,15000.0,F625P2,High (10K+),True
2417518,0,4,CITY OF ALAMEDA,,CITY OF ALAMEDA,7500.0,0.0,0.0,7500.0,33750.0,F625P2,Medium (1K+),True
2346979,0,4,CITY OF ALAMEDA,,CITY OF ALAMEDA,11250.0,0.0,0.0,11250.0,90000.0,F625P2,High (10K+),True
2398827,0,4,CITY OF ALAMEDA,,CITY OF ALAMEDA,11250.0,0.0,0.0,11250.0,26250.0,F625P2,High (10K+),True
2528989,0,62,CITY OF ALAMEDA,,CITY OF ALAMEDA,20000.0,0.0,0.0,20000.0,70000.0,F625P2,High (10K+),True
2550717,1,28,CITY OF ALAMEDA,,CITY OF ALAMEDA,20000.0,0.0,0.0,20000.0,90000.0,F625P2,High (10K+),True
2469175,0,96,CITY OF ALAMEDA,,CITY OF ALAMEDA,0.0,0.0,0.0,0.0,0.0,F625P2,Low (<1K),True
2485181,0,63,CITY OF ALAMEDA,,CITY OF ALAMEDA,50000.0,0.0,0.0,50000.0,50000.0,F625P2,High (10K+),True
2528989,1,62,CITY OF ALAMEDA,,CITY OF ALAMEDA,20000.0,0.0,0.0,20000.0,70000.0,F625P2,High (10K+),True
2483835,0,3,CITY OF ALAMEDA,,CITY OF ALAMEDA,11250.0,152.91,0.0,11402.91,60152.91,F625P2,High (10K+),True
2469175,2,96,CITY OF ALAMEDA,,CITY OF ALAMEDA,0.0,0.0,0.0,0.0,0.0,F625P2,Low (<1K),True
2469175,1,96,CITY OF ALAMEDA,,CITY OF ALAMEDA,0.0,0.0,0.0,0.0,0.0,F625P2,Low (<1K),True
2469175,5,96,CITY OF ALAMEDA,,CITY OF ALAMEDA,0.0,0.0,0.0,0.0,0.0,F625P2,Low (<1K),True
2485181,2,63,CITY OF ALAMEDA,,CITY OF ALAMEDA,50000.0,0.0,0.0,50000.0,50000.0,F625P2,High (10K+),True
2528989,2,62,CITY OF ALAMEDA,,CITY OF ALAMEDA,20000.0,0.0,0.0,20000.0,70000.0,F625P2,High (10K+),True
2548858,0,3,CITY OF ALAMEDA,,CITY OF ALAMEDA,15000.0,0.0,0.0,15000.0,86402.91,F625P2,High (10K+),True
2528211,0,3,CITY OF ALAMEDA,,CITY OF ALAMEDA,11250.0,0.0,0.0,11250.0,71402.91,F625P2,High (10K+),True
2469175,4,96,CITY OF ALAMEDA,,CITY OF ALAMEDA,0.0,0.0,0.0,0.0,0.0,F625P2,Low (<1K),True
2485181,1,63,CITY OF ALAMEDA,,CITY OF ALAMEDA,50000.0,0.0,0.0,50000.0,50000.0,F625P2,High (10K+),True
2469175,3,96,CITY OF ALAMEDA,,CITY OF ALAMEDA,0.0,0.0,0.0,0.0,0.0,F625P2,Low (<1K),True
2470060,0,3,CITY OF ALAMEDA,,CITY OF ALAMEDA,7500.0,0.0,0.0,7500.0,56250.0,F625P2,Medium (1K+),True
2550717,0,28,CITY OF ALAMEDA,,CITY OF ALAMEDA,20000.0,0.0,0.0,20000.0,90000.0,F625P2,High (10K+),True
